Ord	Z	V
585	718.40 	17.7694
586	718.50 	17.7750
587	718.60 	17.7806
588	718.70 	17.7862
589	718.80 	17.7918
590	718.90 	17.7974
591	719.00 	18.3070
592	719.10 	18.3128
593	719.20 	18.3185
594	719.30 	18.3243
595	719.40 	18.3300
596	719.50 	18.3358
597	719.60 	18.3415
598	719.70 	18.3473
599	719.80 	18.3530
600	719.90 	18.3588
601	720.00 	18.8820
602	720.10 	18.8879
603	720.20 	18.8937
604	720.30 	18.8996
605	720.40 	18.9055
606	720.50 	18.9114
607	720.60 	18.9172
608	720.70 	18.9231
609	720.80 	18.9290
610	720.90 	18.9348
611	721.00 	19.4690
612	721.10 	19.4750
613	721.20 	19.4810
614	721.30 	19.4870
615	721.40 	19.4930
616	721.50 	19.4990
617	721.60 	19.5049
618	721.70 	19.5109
619	721.80 	19.5169
620	721.90 	19.5229
621	722.00 	20.0680
622	722.10 	20.0741
623	722.20 	20.0802
624	722.30 	20.0863
625	722.40 	20.0924
626	722.50 	20.0985
627	722.60 	20.1045
628	722.70 	20.1106
629	722.80 	20.1167
630	722.90 	20.1228
631	723.00 	20.6770
632	723.10 	20.6832
633	723.20 	20.6894
634	723.30 	20.6956
635	723.40 	20.7018
636	723.50 	20.7080
637	723.60 	20.7141
638	723.70 	20.7203
639	723.80 	20.7265
640	723.90 	20.7327
641	724.00 	21.2960
642	724.10 	21.3023
643	724.20 	21.3086
644	724.30 	21.3149
645	724.40 	21.3212
646	724.50 	21.3276
647	724.60 	21.3339
648	724.70 	21.3402
649	724.80 	21.3465
650	724.90 	21.3528
651	725.00 	21.9270
652	725.10 	21.9334
653	725.20 	21.9399
654	725.30 	21.9463
655	725.40 	21.9528
656	725.50 	21.9592
657	725.60 	21.9656
658	725.70 	21.9721
659	725.80 	21.9785
660	725.90 	21.9850
661	726.00 	22.5710
662	726.10 	22.5776
663	726.20 	22.5841
664	726.30 	22.5907
665	726.40 	22.5973
666	726.50 	22.6039
667	726.60 	22.6104
668	726.70 	22.6170
669	726.80 	22.6236
670	726.90 	22.6301
671	727.00 	23.2280
672	727.10 	23.2347
673	727.20 	23.2414
674	727.30 	23.2481
675	727.40 	23.2548
676	727.50 	23.2615
677	727.60 	23.2682
678	727.70 	23.2749
679	727.80 	23.2816
680	727.90 	23.2883
681	728.00 	23.8980
682	728.10 	23.9048
683	728.20 	23.9117
684	728.30 	23.9185
685	728.40 	23.9253
686	728.50 	23.9322
687	728.60 	23.9390
688	728.70 	23.9458
689	728.80 	23.9526
690	728.90 	23.9595
691	729.00 	24.5810
692	729.10 	24.5880
693	729.20 	24.5949
694	729.30 	24.6019
695	729.40 	24.6089
696	729.50 	24.6159
697	729.60 	24.6228
698	729.70 	24.6298
699	729.80 	24.6368
700	729.90 	24.6437
701	730.00 	25.2780
702	730.10 	25.2851
703	730.20 	25.2922
704	730.30 	25.2994
705	730.40 	25.3065
706	730.50 	25.3136
707	730.60 	25.3207
708	730.70 	25.3278
709	730.80 	25.3350
710	730.90 	25.3421
